,AHR,ASCL1,E2F1,E2F2,FHL2,FOXM1,FOXO1,GLIS3,HIF1A,HLF,HMGB2,HNF1B,IRF2,IRF8,ISL1,LMO2,MXI1,NEUROD1,NFKB1,NKX6-3,NR1D1,NR2F2,NR3C1,PITX1,PPARGC1B,SOX5,SRY,THRB,TSC22D1,YBX3,ZBTB17
28,"{-0.20365647286138125, 'PHB2'}",,"{-0.0602203931727244, 'PNRC2'}","{-0.2999534568147657, 'TOPBP1'}",,"{-0.28090364803459017, 'PROC'}","{-0.8083542835009051, 'CYP1A1'}",,"{'JUN', -0.08547504278974608}",,,,,,,,,"{'PITX1', -0.9451495003617462}","{'CEBPA', -1.1947763939961604}",,,,"{-0.7490585644056873, 'IGFBP1'}",,,,,,,,
29,"{'TH', -0.3689607708104399}",,"{'MYBL2', -1.0799464717302345}","{-0.003166686251738443, 'TP53'}",,"{'CPS1', -1.889828525406128}","{-0.6879035770311452, 'NDN'}",,"{-0.23200435616221646, 'VHL'}",,,,,,,,,"{-1.4326277741734577, 'DLL1'}","{-0.49337186324244503, 'RPS3'}",,,,"{-0.8092678485791327, 'OCLN'}",,,,,,,,
30,"{-0.10324927933205362, 'PER1'}",,"{-0.3758108450224371, 'MCM8'}","{'MCM2', -0.5354604598429384}",,"{-0.8090600572758764, 'AR'}","{-0.4375142937774131, 'VEGFA'}",,"{'MET', -2.9925935754728923}",,,,,,,,,"{'THRB', -1.0298144608563367}","{-0.34679894487375545, 'AGR2'}",,,,"{-2.1422610205371213, 'CALD1'}",,,,,,,,
31,"{-0.34679894487375545, 'AGR2'}",,"{-0.14426950408889636, 'DIABLO'}","{-0.5503271119384563, 'BAX'}",,"{-1.3654405209285143, 'BRIP1'}","{'SCN5A', -1.9882265004384838}",,"{-0.4209072861700892, 'CAD'}",,,,,,,,,,"{-0.10179900712091305, 'HSPA5'}",,,,"{'CYP27A1', -0.6168924745317433}",,,,,,,,
32,"{-0.14426950408889636, 'CD36'}",,"{-0.010707556876583986, 'PURA'}","{-0.25766667667678567, 'MDM2'}",,"{'BTG2', -1.0275953806799303}","{-0.9035816472254954, 'DGKA'}",,"{-0.8898425785376788, 'CCNA2'}",,,,,,,,,,"{-0.29807129226036144, 'SP1'}",,,,"{'TH', -0.3689607708104399}",,,,,,,,
33,"{'ABCC4', -1.539687994760751}",,"{-0.4375142937774131, 'VEGFA'}","{-0.3758108450224371, 'MCM8'}",,"{-0.250413347724859, 'CDC25B'}","{'PKLR', -1.37683840932787}",,"{-0.4156858516582077, 'CISH'}",,,,,,,,,,"{-2.0791875773230344, 'FGFR1'}",,,,"{'SELENOP', -2.8456882945594164}",,,,,,,,
34,"{'RFC1', -0.05791451977436666}",,"{-0.18503843378156834, 'NCOA3'}",,,"{'FGB', -1.0386923015304559}","{-1.9890888762572914, 'CDKN1A'}",,"{'BRCA1', -1.0051315392235045}",,,,,,,,,,"{-0.8333665325691616, 'ME3'}",,,,"{-0.05401879080673344, 'MCL1'}",,,,,,,,
35,"{-1.7772565669683984, 'ABCG2'}",,"{'BRCA1', -1.0051315392235045}",,,"{-0.09656528536545406, 'VEGFB'}","{'ABCC2', -0.062008686760192826}",,"{'TGFB3', -1.327056745877944}",,,,,,,,,,"{-1.3318869823920845, 'HPSE'}",,,,"{-0.009864272790700249, 'PMAIP1'}",,,,,,,,
36,"{-0.7608307545485035, 'NQO1'}",,"{'DDB2', -1.4296417820858764}",,,"{-0.003166686251738443, 'TP53'}","{-0.24290710340586097, 'FASN'}",,"{-0.2308199349833978, 'NAMPT'}",,,,,,,,,,"{-0.11000776010348574, 'CD99'}",,,,"{'SCARB1', -0.1153725495410097}",,,,,,,,
37,"{'PPARGC1B', -1.5817973369282747}",,"{'NRP1', -1.2609698770969822}",,,"{-0.8898425785376788, 'CCNA2'}","{'GLUL', -1.6902791615293757}",,"{-1.1626409574578687, 'BIRC5'}",,,,,,,,,,"{-0.5895393877048386, 'SLC4A4'}",,,,"{-0.331562674764566, 'KLF15'}",,,,,,,,
38,"{-0.44313707400935537, 'MFSD2A'}",,"{-0.8090600572758764, 'AR'}",,,"{-0.5333875467278639, 'CDC25C'}","{-0.7999341663352917, 'PCK2'}",,"{-0.47223876762715616, 'F3'}",,,,,,,,,,"{'SDC4', -2.892726466988186}",,,,"{-0.8149010856552162, 'SIRT1'}",,,,,,,,
39,"{'DPEP1', -1.3989770505710581}",,"{-0.16421913113731926, 'MAT2A'}",,,"{-0.4448844653827714, 'CCNE1'}","{-0.8090600572758764, 'AR'}",,"{-0.13738851816414802, 'ARNT'}",,,,,,,,,,"{-1.7772565669683984, 'ABCG2'}",,,,"{-0.04062725747476108, 'RAF1'}",,,,,,,,
