,AHR,ASCL1,E2F1,E2F2,FHL2,FOXM1,FOXO1,GLIS3,HIF1A,HLF,HMGB2,HNF1B,IRF2,IRF8,ISL1,LMO2,MXI1,NEUROD1,NFKB1,NKX6-3,NR1D1,NR2F2,NR3C1,PITX1,PPARGC1B,SOX5,SRY,THRB,TSC22D1,YBX3,ZBTB17
15,L1CAM,MGMT,CDKN1C,,,MMP9,CTSL,,FECH,,,,,,,,,GNAL,MYLK,,,,MYLK,,,,,,,,VPS72
16,PPIG,,DUSP4,,,PRDX3,ADIPOR2,,UCP2,,,,,,,,,GAL,HSP90AA1,,,,BNIP3,,,,,,,,EFNB2
17,EGLN1,,PCSK6,,,UHMK1,HYOU1,,FURIN,,,,,,,,,ST18,BHMT,,,,NOTCH4,,,,,,,,
18,HSP90AB1,,RHOBTB2,,,,SOX2,,TGFB1,,,,,,,,,,MBTPS1,,,,CLDN5,,,,,,,,
19,FSCN1,,BNIP3,,,,IRS2,,HSP90B1,,,,,,,,,,MBTPS2,,,,ANGPTL4,,,,,,,,
20,FGF9,,NFYA,,,,MEN1,,LDHA,,,,,,,,,,ATF6,,,,CREB1,,,,,,,,
21,SOD1,,BIN1,,,,CCND1,,PGK1,,,,,,,,,,DRD2,,,,SLC30A2,,,,,,,,
22,SOS1,,DAPK2,,,,CPT1A,,PIK3C3,,,,,,,,,,BACE1,,,,ACO1,,,,,,,,
23,SPP1,,E2F6,,,,CDH3,,ABCA1,,,,,,,,,,YY1,,,,TSC22D3,,,,,,,,
24,CD55,,SRSF2,,,,HMOX1,,CCND1,,,,,,,,,,BCL3,,,,KRAS,,,,,,,,
25,CCNG2,,IRF3,,,,NEUROG3,,STAT3,,,,,,,,,,CFLAR,,,,IL11,,,,,,,,
26,NFIC,,SIAH1,,,,NKX6-1,,EGLN1,,,,,,,,,,TNFRSF1A,,,,RASD1,,,,,,,,
27,JUP,,PIN1,,,,NLK,,CFC1,,,,,,,,,,TRAF2,,,,PDX1,,,,,,,,
28,SRSF3,,ANGPT2,,,,ACADSB,,XIAP,,,,,,,,,,TRAF5,,,,CFTR,,,,,,,,
