,AHR,ASCL1,E2F1,E2F2,FHL2,FOXM1,FOXO1,GLIS3,HIF1A,HLF,HMGB2,HNF1B,IRF2,IRF8,ISL1,LMO2,MXI1,NEUROD1,NFKB1,NKX6-3,NR1D1,NR2F2,NR3C1,PITX1,PPARGC1B,SOX5,SRY,THRB,TSC22D1,YBX3,ZBTB17
22,"{0.05327234026844825, 'SOS1'}",,"{3.5691162457586167, 'DAPK2'}",,,,"{0.8427462420110752, 'CPT1A'}",,"{0.5239874075251754, 'PIK3C3'}",,,,,,,,,,"{0.23616572355766427, 'BACE1'}",,,,"{0.3995618817746781, 'ACO1'}",,,,,,,,
23,"{'SPP1', 4.0220135806717465}",,"{0.05557655995594869, 'E2F6'}",,,,"{0.2733261401587873, 'CDH3'}",,"{1.4242171458434005, 'ABCA1'}",,,,,,,,,,"{0.17651101086512358, 'YY1'}",,,,"{0.9650295293271492, 'TSC22D3'}",,,,,,,,
24,"{0.20272654885524363, 'CD55'}",,"{0.06924806348190234, 'SRSF2'}",,,,"{0.7840761184896553, 'HMOX1'}",,"{3.0551553698839817, 'CCND1'}",,,,,,,,,,"{0.18757036905241145, 'BCL3'}",,,,"{0.4631267842859632, 'KRAS'}",,,,,,,,
25,"{0.11455168937405617, 'CCNG2'}",,"{0.020407731379273812, 'IRF3'}",,,,"{'NEUROG3', 0.6069845610228815}",,"{0.9669111246188153, 'STAT3'}",,,,,,,,,,"{'CFLAR', 0.10587057508657688}",,,,"{0.16338366095223253, 'IL11'}",,,,,,,,
26,"{0.30848749274450743, 'NFIC'}",,"{'SIAH1', 0.3451759059217282}",,,,"{'NKX6-1', 0.9710902621618184}",,"{0.001933944484873947, 'EGLN1'}",,,,,,,,,,"{0.36440174401181286, 'TNFRSF1A'}",,,,"{0.23676481478493322, 'RASD1'}",,,,,,,,
27,"{0.11577659322735034, 'JUP'}",,"{'PIN1', 0.03898443331231548}",,,,"{'NLK', 0.02721193585913193}",,"{0.8502060254393647, 'CFC1'}",,,,,,,,,,"{0.15824814132615966, 'TRAF2'}",,,,"{0.9318236675362378, 'PDX1'}",,,,,,,,
28,"{0.10480294850000257, 'SRSF3'}",,"{0.3221915009655523, 'ANGPT2'}",,,,"{1.7479536771084063, 'ACADSB'}",,"{'XIAP', 0.043585369832403464}",,,,,,,,,,"{5.697330261250427, 'TRAF5'}",,,,"{'CFTR', 2.977105659672667}",,,,,,,,
29,"{3.0551553698839817, 'CCND1'}",,"{0.2849937234252692, 'TAPBP'}",,,,"{0.33530917515615516, 'ACAT2'}",,"{0.32678964249065584, 'DLD'}",,,,,,,,,,"{1.5162265953102156, 'NR4A1'}",,,,"{0.03717956553864026, 'POT1'}",,,,,,,,
30,"{0.17651101086512358, 'YY1'}",,"{0.05402452574123726, 'SLC11A1'}",,,,"{0.08798516305310831, 'CASP6'}",,"{0.24480627674579536, 'NBN'}",,,,,,,,,,"{0.7840761184896553, 'HMOX1'}",,,,"{0.045418714481548085, 'TINF2'}",,,,,,,,
31,"{'RHOA', 0.12210712982135287}",,"{'NEUROG3', 0.6069845610228815}",,,,"{0.11455168937405617, 'CCNG2'}",,"{0.19800079813519567, 'PFKFB2'}",,,,,,,,,,"{'FOXA2', 0.14376252256531402}",,,,"{0.1697627788309542, 'NFIL3'}",,,,,,,,
32,"{0.6160367735036403, 'HSD17B8'}",,"{0.5102286007011337, 'KCNH1'}",,,,"{0.12169439643124483, 'CDKN2D'}",,"{0.3273816284322269, 'TXN'}",,,,,,,,,,"{0.3895443352155197, 'PPARA'}",,,,"{'RPS6KA5', 0.009543315451915488}",,,,,,,,
33,"{0.5966714686727586, 'KISS1'}",,"{0.12169439643124483, 'CDKN2D'}",,,,"{'CFLAR', 0.10587057508657688}",,"{'TXN2', 0.09038081053219235}",,,,,,,,,,"{0.5452818829096129, 'UACA'}",,,,"{0.866708881095091, 'LAMB1'}",,,,,,,,
34,"{0.11864172647842612, 'STS'}",,"{0.1935542324218693, 'MCPH1'}",,,,"{3.4472691018393298, 'CLDN5'}",,"{0.2309461175233577, 'EIF4E'}",,,,,,,,,,"{0.04390747174697831, 'TANK'}",,,,"{0.11530514991494487, 'MMP9'}",,,,,,,,
35,"{0.5740399489538723, 'CDX2'}",,"{0.07368620262751337, 'DNMT3A'}",,,,"{0.6508306175938979, 'CNOT8'}",,"{0.23616572355766427, 'BACE1'}",,,,,,,,,,"{'CTCF', 0.004955101917169807}",,,,"{0.5955858922501691, 'ATP1B1'}",,,,,,,,
36,"{0.0516351294119538, 'FOS'}",,"{'NELL2', 0.9094050518172058}",,,,"{'COL13A1', 0.6406444845935806}",,"{0.5306643039461191, 'MAPK1'}",,,,,,,,,,"{'ACHE', 1.0289078461516576}",,,,"{0.11235067773920382, 'ATF2'}",,,,,,,,
37,"{'ABCC3', 1.0939182859740926}",,"{0.046716981739242686, 'HMGN1'}",,,,"{'DAPK1', 0.027689775688716854}",,"{1.47437185266114, 'PEPD'}",,,,,,,,,,"{0.12916672338846633, 'EHMT1'}",,,,"{0.425586987383543, 'BAD'}",,,,,,,,
