gene_name,TF_Activity,TF_pvalue,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MLXIP,-0.85165,0.394421941,2574.1174,0.646716719,0.060165215,10.77841499,4.35E-27,2.58E-26
MLXIPL,-1.591251731,0.111573954,2648.8064,-3.869987054,0.25117631,-15.54640158,1.68E-54,1.84E-53
MTA3,2.754231691,0.005890079,1512.2284,0.789363873,0.043243954,18.26645478,1.53E-74,2.33E-73
MXI1,-0.144612044,0.885019125,1066.3177,1.841763796,0.565544224,3.684772054,0.000228907,0.00044839
MYBL2,-2.018153191,0.043593031,126.25296,-3.895825206,0.338593068,-11.63633218,2.69E-31,1.79E-30
MYC,-3.129600525,0.00175379,92.08434,-2.00292549,0.262783857,-7.823246475,5.15E-15,1.98E-14
MYCN,-2.026884079,0.042691877,579.1612,-3.373767128,0.109638295,-30.84071075,7.46E-209,4.92E-207
MYRF,1.619895697,0.105275653,1967.7006,-2.432454582,0.199740447,-12.32065241,7.01E-35,5.11E-34
MYT1,-0.726883829,0.467308439,2765.0088,0.848665034,0.157798844,5.488916425,4.04E-08,1.09E-07
MZF1,-0.233544633,0.815341695,1200.2048,0.761733252,0.1899088,4.129025272,3.64E-05,7.69E-05
NAB2,0.925219297,0.354866694,321.6984,1.016792605,0.317275662,3.419944848,0.000626338,0.001168284
NCOA1,-2.332079411,0.019709645,1688.0519,0.679926905,0.133300305,5.169502111,2.35E-07,5.98E-07
NEUROD1,-0.990537047,0.321927628,5671.701,-4.644880768,0.201741651,-23.11196906,3.51E-118,9.81E-117
NFAT5,-1.947031379,0.051549564,816.36285,-0.54573032,0.232176144,-2.454814394,0.014095735,0.022146021
NFATC2,-0.912432671,0.361555625,747.80084,-2.108796966,0.189483683,-11.26766187,1.90E-29,1.20E-28
NFE2L1,0.738816142,0.460030179,7386.8823,0.551588556,0.125864054,4.467848605,7.90E-06,1.78E-05
NFIC,-2.073405743,0.03815152,408.85953,-1.91008585,0.180079361,-10.73996131,6.61E-27,3.90E-26
NFIL3,-1.101087093,0.270876378,550.5297,1.609345057,0.302893701,5.546539079,2.91E-08,7.94E-08
NFKB1,-0.702964365,0.482088839,632.97943,-0.958429871,0.111703969,-8.658373406,4.79E-18,2.08E-17
NFKB2,-1.47167182,0.141130447,573.0909,1.004329185,0.25662558,4.08689939,4.37E-05,9.17E-05
NFYB,-1.466216922,0.142610109,469.79285,-0.505439394,0.128170144,-3.995016488,6.47E-05,0.000133775
NFYC,-0.395425439,0.692534547,1239.4211,0.70875221,0.13031907,5.519094246,3.41E-08,9.25E-08
NKRF,-2.983181715,0.002857264,298.45694,-0.7075626,0.152267729,-4.724352244,2.31E-06,5.43E-06
NKX2-2,-2.521122694,0.011708357,2125.7874,-1.69750211,0.150229096,-11.47308016,1.80E-30,1.17E-29
NKX3-1,0.007986142,0.993628154,153.71971,2.606068657,0.233760301,11.2899883,1.47E-29,9.32E-29
NKX6-1,0.938185692,0.348164058,7228.8145,-0.64108481,0.102242498,-6.326130775,2.51E-10,7.72E-10
NKX6-3,-0.903821409,0.366104586,281.6295,-2.743344167,0.662884605,-4.607228666,4.08E-06,9.41E-06
NONO,0.874053419,0.382103121,14256.035,0.904445902,0.071925143,12.75910376,2.77E-37,2.13E-36
NOTCH1,0.315682888,0.752247597,156.47493,-0.689269894,0.227527052,-3.151866589,0.001622304,0.002877842
NPM1,0.097383358,0.922423258,5263.1187,-0.671107856,0.090804511,-7.426437112,1.12E-13,4.06E-13
NR0B1,0.08260382,0.934167663,2161.4133,2.121314572,0.147915137,14.43385051,3.17E-47,3.02E-46
NR0B2,-1.504039764,0.132592129,58.200745,-2.064883775,0.324119951,-6.609077849,3.87E-11,1.24E-10
NR1H2,0.44718641,0.654746913,795.0581,2.037076614,0.073526446,27.73711853,2.49E-169,1.17E-167
NR1H4,0.112102948,0.910743276,64.60482,-3.258306134,0.312829052,-10.54187672,5.54E-26,3.20E-25
NR2F2,-1.09655869,0.272851914,234.53737,-2.497936849,0.288915533,-8.859830812,8.01E-19,3.61E-18
NR2F6,-2.754850626,0.005878955,2428.4539,-0.807471004,0.073883529,-10.97504298,5.04E-28,3.07E-27
NR3C1,-2.50000596,0.012429687,4267.401,-2.305542516,0.088126583,-26.24864424,7.41E-152,2.94E-150
NR3C2,-1.536350369,0.124473511,194.6659,-1.883092343,0.180768349,-10.55402975,4.87E-26,2.82E-25
NR4A2,-2.457023144,0.014020577,162.1631,-2.272668475,0.357519814,-6.625533907,3.46E-11,1.12E-10
NR4A3,0.380686462,0.703441293,116.14041,-1.638966584,0.518227549,-3.573081442,0.000352805,0.000675936
NR5A2,-2.022506475,0.04314172,69.27998,2.15441224,0.357270527,6.280426771,3.38E-10,1.03E-09
NRG1,0.207334191,0.835751681,138.49303,-2.375396697,0.212454417,-11.30711745,1.21E-29,7.69E-29
NRL,-0.121003784,0.903689654,78.08866,1.26841028,0.279295213,4.743365445,2.10E-06,4.96E-06
PAWR,-0.681218505,0.49574373,1456.7401,0.553856331,0.100045643,5.58035259,2.40E-08,6.58E-08
PAX6,-1.034360886,0.300984116,1533.014,-1.848554209,0.183581745,-10.20899832,1.81E-24,9.88E-24
PBRM1,-0.168028921,0.866562787,2457.2341,0.572607414,0.091454502,6.301815079,2.94E-10,8.99E-10
PBX1,-1.579606652,0.114218007,1622.7169,-0.812443843,0.037977264,-21.4461824,4.96E-102,1.11E-100
PDX1,-1.581089377,0.113878634,15086.573,2.384757639,0.101977726,23.50616509,3.53E-122,1.03E-120
PGR,1.398458958,0.161995911,871.437,3.897912989,0.361786821,10.96945128,5.36E-28,3.26E-27
PIN1,0.447371781,0.654613091,2516.947,-0.590279454,0.102136477,-5.832889317,5.45E-09,1.55E-08
PKNOX1,0.778551221,0.436256373,796.0991,1.095272712,0.115538456,9.561547688,1.16E-21,5.78E-21
PLAGL1,-1.948297501,0.051397952,1615.4072,-1.530041466,0.254069291,-6.236143367,4.48E-10,1.36E-09
POU2F2,0.03245274,0.974111435,116.07959,-0.564397543,0.22148922,-2.651096897,0.008023082,0.013063903
POU3F2,-2.702682018,0.006885974,72.567314,1.230339804,0.303657208,4.274939711,1.91E-05,4.15E-05
PPARA,-2.217083931,0.026632254,2553.7512,-1.10996467,0.17174934,-6.574099939,4.89E-11,1.57E-10
PPARGC1A,0.1485167,0.881936999,1032.4718,5.599378028,0.244367604,22.99848053,4.83E-117,1.31E-115
PRDM2,1.174387336,0.240258512,1608.8799,0.856974144,0.142139855,6.139388946,8.28E-10,2.47E-09
PRDM4,-1.364572525,0.172407863,1891.9366,0.574162641,0.069315983,8.314584567,9.21E-17,3.82E-16
PROX1,1.520030141,0.128524424,3176.4268,0.777535625,0.243034704,3.349034432,0.000810937,0.001491215
PURA,0.574634016,0.565547438,807.9599,-0.869088321,0.133957674,-6.573104606,4.93E-11,1.58E-10
RARA,-0.383697242,0.701208282,369.36075,-1.040411526,0.124364842,-8.455331268,2.78E-17,1.18E-16
RARG,0.765059948,0.444247854,89.73893,-1.438336367,0.298470971,-5.055507154,4.29E-07,1.07E-06
RB1,0.914078534,0.360690237,2024.5186,0.65382254,0.110273602,6.006519106,1.90E-09,5.54E-09
RBPJ,-0.179008633,0.857933335,1666.3656,0.957530329,0.187843314,5.219697608,1.79E-07,4.61E-07
RCOR2,-2.498198748,0.012493211,771.1209,-2.094712789,0.103288641,-20.3694314,3.12E-92,6.13E-91
REL,0.192960188,0.846992753,217.46712,-0.542676287,0.214080811,-2.629818021,0.008543059,0.013865523
RELA,-1.418956757,0.155932349,1247.486,0.644538651,0.047278282,13.64781598,2.08E-42,1.79E-41
RELB,-1.949896812,0.051206977,175.50237,1.820867982,0.48861557,4.103936918,4.06E-05,8.55E-05
REST,0.329523265,0.741764801,245.70644,3.862369445,0.314133163,12.45162315,1.37E-35,1.01E-34
RXRA,0.33214426,0.73978496,2346.3435,-0.939054152,0.108006271,-8.764476591,1.88E-18,8.29E-18
RXRG,0.015956849,0.987269029,73.51771,-0.876840835,0.245063449,-3.729445286,0.000191902,0.000378665
SALL2,-1.217070341,0.223596553,1572.523,-0.678129558,0.107690124,-6.3666019,1.93E-10,5.99E-10
SALL4,-1.109817386,0.267095472,314.91507,1.003470027,0.138420476,7.342332838,2.10E-13,7.55E-13
SATB1,0.113225646,0.909853175,1808.9086,1.920920884,0.077173915,24.95039717,2.11E-137,7.39E-136
SATB2,-1.866987944,0.061922715,160.93097,0.883503971,0.241223169,3.813040825,0.000137267,0.000275194
SCX,-2.758775473,0.005808851,90.74331,-1.807844657,0.258166603,-7.189818134,6.49E-13,2.29E-12
SIN3A,2.934435129,0.003346604,1827.9132,0.803479406,0.158225056,5.179012192,2.23E-07,5.70E-07
SIRT1,0.819950402,0.412257378,931.0422,-1.463121576,0.064515995,-22.73157035,2.18E-114,5.77E-113
SMAD1,-1.465882659,0.142701165,560.84247,0.676095849,0.070506877,9.626140243,6.20E-22,3.12E-21
SMAD2,-0.743451715,0.457219859,1637.479,0.51774095,0.122425163,4.294720564,1.75E-05,3.81E-05
SMAD3,-0.650654197,0.515279677,567.7347,0.539925748,0.265755484,2.146831725,0.031806681,0.04725115
SMAD4,-1.479696989,0.138975077,2252.8303,0.716155917,0.05563055,12.90220805,4.37E-38,3.42E-37
SMARCA4,1.08417666,0.27830386,5395.726,0.637547293,0.037762614,16.89223176,5.13E-64,6.51E-63
SOX11,-0.336037219,0.736847489,2926.2688,1.418777318,0.179148547,8.091811671,5.88E-16,2.35E-15
SOX2,0.654607892,0.512730253,5584.7163,6.022772002,0.312563195,19.4327484,4.08E-84,7.27E-83
SOX4,2.43558526,0.014879257,1391.5908,-1.06725529,0.150488826,-7.189392763,6.51E-13,2.29E-12
SOX5,-0.291231453,0.770878325,579.72406,-1.944715675,0.121023723,-16.17261203,7.87E-59,9.18E-58
SOX9,1.481705427,0.138439645,112.362404,-0.722037563,0.331788081,-2.362656615,0.018144473,0.027980717
SP2,0.38819176,0.697879626,601.39496,0.560057846,0.159447263,3.582428458,0.000340415,0.000653948
SP4,-0.710101724,0.477652069,391.9821,0.660074327,0.06715762,9.83857603,7.68E-23,4.00E-22
SREBF1,-2.367123127,0.017939556,3874.46,-1.008910353,0.126874194,-8.043226242,8.75E-16,3.48E-15
SRSF2,-0.669698715,0.503060153,2238.841,1.074656637,0.079739107,13.53472667,9.75E-42,8.31E-41
SRY,-2.365581512,0.018014393,49.193314,-1.576947827,0.326930033,-5.060941362,4.17E-07,1.04E-06
STAT1,-0.324979991,0.745200736,4424.032,-2.182842121,0.117516169,-18.62623834,1.97E-77,3.15E-76
STAT3,-2.006968737,0.044770856,5167.6016,0.810113714,0.115860052,7.092535902,1.32E-12,4.55E-12
STAT4,2.040792942,0.041288838,404.1565,3.117092976,0.252788815,12.48560282,8.95E-36,6.64E-35
STAT5A,-1.147407055,0.251231681,69.65971,-1.335483127,0.328941633,-4.313657749,1.61E-05,3.51E-05
STAT6,0.008267348,0.993403796,596.09735,-1.350660206,0.116821541,-11.65858268,2.07E-31,1.38E-30
TBX2,1.685508728,0.091911209,2729.9202,1.964980475,0.259873968,7.74595698,9.49E-15,3.61E-14
TBX3,2.155545235,0.031135009,315.27695,-1.826945178,0.220284526,-8.472245646,2.41E-17,1.02E-16
TCF12,0.070192859,0.944041092,1493.3759,0.831863975,0.088970555,9.400665837,5.42E-21,2.65E-20
TCF4,-2.422163725,0.015440139,427.55615,1.847883975,0.150534992,12.39072558,2.93E-35,2.15E-34
TCF7,0.462098122,0.644017642,242.16563,1.734170699,0.200447176,8.805032034,1.31E-18,5.82E-18
TCF7L2,1.141366124,0.25373577,368.04233,1.756265739,0.149364524,11.87102434,1.67E-32,1.15E-31
TEAD1,-0.756158292,0.44956614,4281.9478,0.897438336,0.130515664,6.982116656,2.91E-12,9.87E-12
TFAP2C,-1.527986526,0.126536915,380.74155,0.729455024,0.222778498,3.395660781,0.000684632,0.001271267
TFAP4,-0.31297484,0.754304117,83.5319,-0.976518899,0.367739351,-2.907924697,0.003638359,0.006196793
TFCP2,-0.718046606,0.472739706,868.4882,0.749214902,0.097264617,7.756400732,8.74E-15,3.33E-14
TFDP1,-1.415778875,0.156860967,2338.4866,-0.564111978,0.04638541,-12.18023181,3.96E-34,2.83E-33
TFDP2,-2.074749708,0.038026705,1408.8451,-1.660734874,0.109733985,-15.2229088,2.49E-52,2.63E-51
TGFB1I1,-0.301265001,0.763216592,415.50156,3.290849993,0.239072265,13.90706811,5.74E-44,5.09E-43
TGIF1,1.306153059,0.19152049,84.469696,2.292499293,0.438900329,5.538701183,3.05E-08,8.29E-08
THAP11,-0.143399507,0.885976594,914.67017,-0.835284029,0.09567823,-8.790345745,1.49E-18,6.62E-18
TRERF1,0.486772209,0.626426861,1174.8806,1.053371417,0.133637975,7.982546844,1.43E-15,5.66E-15
TRPS1,-0.083822757,0.93319847,792.56616,-1.866252772,0.081138523,-23.0541521,1.34E-117,3.69E-116
TSC22D1,-1.251216054,0.210875127,4366.867,-1.332548008,0.063049981,-21.20604886,8.40E-100,1.82E-98
TTF1,0.636718154,0.524318138,330.1349,0.692937859,0.129605732,5.411387607,6.25E-08,1.66E-07
USF2,-1.984518528,0.047216209,3476.134,-0.679308798,0.062100894,-10.97183928,5.22E-28,3.18E-27
VDR,-1.551178813,0.120879882,227.68018,4.238332782,0.244373664,17.43201946,4.72E-68,6.42E-67
WWTR1,-0.292651266,0.769792762,286.24536,3.448281669,0.226361801,15.34897376,3.60E-53,3.86E-52
XBP1,-0.804261446,0.421258712,8220.388,-1.209168374,0.086804577,-14.00904091,1.37E-44,1.23E-43
YAP1,1.772640586,0.076308522,108.50944,1.837982578,0.362411252,5.348235169,8.88E-08,2.34E-07
ZBTB17,0.784545481,0.432732464,1733.5853,1.992078728,0.081865019,24.38998017,2.18E-131,7.06E-130
ZBTB18,0.576387823,0.5643617,608.9122,0.686418601,0.123691068,5.614304616,1.97E-08,5.44E-08
ZFPM1,-0.052716706,0.957958328,1176.2051,-2.209948727,0.125994469,-17.62926335,1.47E-69,2.06E-68
ZHX2,1.732802391,0.083151299,316.56998,0.579396508,0.276582059,2.222543789,0.026246578,0.039506513
ZNF143,-1.150365949,0.250011471,346.51315,-0.531888081,0.130336698,-4.137375281,3.51E-05,7.43E-05
