Gene stable ID,TF_Activity,TF_pvalue,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene name
ENSG00000186951,-2.5639514923095703,0.010358633997045648,2005.5707,-0.7437084884286546,0.1404507775959597,-5.295153940465251,1.1891619083248112e-07,3.5835521908801526e-07,PPARA
ENSG00000288283,-1.9664546251296997,0.049264874784579145,729.0498,-0.570919669533899,0.1065368027607111,-5.358896219330173,8.373193374668038e-08,2.556767883602742e-07,RFX1
ENSG00000132005,-1.9664546251296997,0.049264874784579145,729.0498,-0.570919669533899,0.1065368027607111,-5.358896219330173,8.373193374668038e-08,2.556767883602742e-07,RFX1
ENSG00000260428,-2.221526622772217,0.02633046111444357,80.32423,-1.760362103565932,0.360201047002138,-4.887165426688732,1.0229813464419558e-06,2.845674301015123e-06,SCX
ENSG00000169375,2.950566530227661,0.0031769124077888795,1649.6735,0.9718846340534407,0.14122514468915795,6.881810149266243,5.909674071496717e-12,2.3972530175393544e-11,SIN3A
ENSG00000072310,-2.300908088684082,0.021410731102134855,3943.1982,-1.197807403063808,0.15225417185869644,-7.867156534636471,3.627925890803232e-15,1.752188223048372e-14,SREBF1
ENSG00000112658,2.775137186050415,0.005524801767496466,1358.6675,0.5594209318351339,0.06817411897198193,8.205766943098212,2.2912349693246544e-16,1.1671027675926727e-15,SRF
ENSG00000184895,-2.350060224533081,0.018783501447871515,44.829098,-1.5895181569850279,0.20432107193348636,-7.779511637950253,7.280504827411885e-15,3.460649388580251e-14,SRY
ENSG00000138378,2.121537208557129,0.03389327846643437,385.5922,2.8950991428564596,0.2339501315881816,12.374855800263678,3.575358432913847e-35,3.698724630423383e-34,STAT4
ENSG00000147133,1.9898862838745117,0.04662192864933266,944.9344,0.8698515597356092,0.23805175917798235,3.654043821139141,0.00025814218042246684,0.0005535485852875651,TAF1
ENSG00000114126,-2.4249751567840576,0.015321383484756588,1216.8787,-1.5152427015908554,0.09781438293247983,-15.491000977195863,3.990290902700272e-54,6.7440955658611595e-53,TFDP2
ENSG00000177426,2.1968181133270264,0.028048967261314502,75.18776,2.967113992060114,0.3896494762529569,7.6148286418685975,2.640415309425098e-14,1.2180994600453423e-13,TGIF1
ENSG00000105698,-2.009096384048462,0.044545131764571186,3446.5676,-0.8135787077762417,0.11592816300719823,-7.0179556604008715,2.2513796116351785e-12,9.343828379724123e-12,USF2
ENSG00000178764,1.9673587083816528,0.0491606161139827,287.8337,0.7309766508121728,0.17679809099316798,4.134527961845583,3.5568494783402504e-05,8.454768475802814e-05,ZHX2
